news_id,title,date,url
47298,"Спортивные победы, творческие успехи, научные конференции и форумы — итоги недели в Герценовском университете",02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47298
47296,Юбилей дипломатических отношений России и Вьетнама отметили концертом в РГПУ им. А. И. Герцена,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47296
47295,Эксперт: Система образования должна сыграть особую роль в решении демографических вопросов,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47295
47304,«Зову в свою профессию»: Ирина Ульянец — безупречный труд и внимание к детям,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47304
47299,Весенний благотворительный концерт Альберта Асадуллина собрал полный зал зрителей в Герценовском университете,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47299
47292,На Фестивале Движения Первых стартовала летняя оздоровительная кампания,02 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47292
47198,От пришкольных лагерей до «Артека»: герценовские вожатые обеспечивают качественный детский отдых,01 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47198
47281,Поздравление Министра просвещения Российской Федерации Сергея Кравцова с Днем защиты детей,01 июн 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47281
47216,Герценовцы встретились с актерами фильма «Группа крови»,30 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47216
47200,"Портрет современного школьника, ресоциализация пожилых людей, психологическая безопасность:  Сергей Тарасов предложил создать региональную программу исследований",30 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47200
47201,Еще один китайский вуз готов сотрудничать с РГПУ им. А. И. Герцена,30 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47201
47187,"Не нужно бояться — обязательно все получится: Сергей Тарасов рассказал, как абитуриенту сделать правильный выбор",30 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47187
47197,Дни славянской письменности прошли в Центре открытого образования в Лаосе,30 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47197
47191,Герценовцы стали чемпионами по шахматам на городском фестивале,30 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47191
47214,Незабытые имена: Михаил Канеев — лейтенант и заслуженный деятель искусств,30 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47214
47193,В РГПУ им. А. И. Герцена прошел финал отборочного тура конкурса китайской песни «Кубок водяного куба — 2025»,30 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47193
47179,Герценовцы удостоены премий Правительства Санкт-Петербурга,29 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47179
47156,Спортсмен Герценовского университета стал победителем Всероссийских соревнований по дзюдо,29 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47156
47151,Руководство Герценовского университета обсудило возможности дополнительного образования с Лодейнопольским центром эстетического развития,29 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47151
47211,В Студенческом дворце культуры состоялся вечер музыки для арфы,29 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47211
47173,"Игродни, фестивали и командообразующие выезды: Герценовский игровой клуб подвел итоги учебного года",29 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47173
47168,Творческие объединения РГПУ им. А. И. Герцена дали серию концертов к 80-летию Победы,29 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47168
47139,Ректор Герценовского университета посетил выставку Валерия Леднева в Старой Ладоге,28 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47139
47143,Библиотеке РГПУ им. А. И. Герцена вручен памятный знак «Библиотеки Ленинграда: вклад в Победу»,28 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47143
47122,РГПУ им. А. И. Герцена представил свои наработки по обучению переводчиков на конференции в Мадриде,28 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47122
47132,Межотраслевой форум по культуре обеспечения безопасности стартовал в РГПУ им. А. И. Герцена,28 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47132
47147,Кампус Герценовского университета украсили цветами в тонах триколора,28 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47147
47145,Герценовские студенты-сурдопедагоги рассказали о своих патриотических проектах,28 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47145
47096,Поздравление ректора Сергея Тарасова с Днем города,27 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47096
47110,Студенты-герценовцы с ограниченными возможностями здоровья посетили тренировку основного состава ФК «Зенит»,27 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47110
47099,Всероссийский слет инклюзивного волонтерства в 2026 году пройдет на базе Герценовского университета,27 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47099
47098,РГПУ им. А. И. Герцена представил программу «Педагог профессионального образования» в МГПУ,27 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47098
47120,«Орлята России»: В РГПУ им. А. И. Герцена обсудили воспитание ценностного отношения к Родине у младших школьников,27 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47120
47055,В филиале РГПУ им. А. И. Герцена в Ташкенте откроется Центр адаптивной физической культуры и спорта,26 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47055
47093,Брифинг Министра просвещения РФ Сергея Кравцова по итогам 2024/25 учебного года,26 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47093
47089,Семья аспирантки Герценовского университета победила в региональном конкурсе «Семья года»,26 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47089
47056,Женская волейбольная сборная Герценовского университета стала серебряным призером чемпионата вузов,26 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47056
47025,Педагогическая ассамблея в честь 95-летия института народов Севера РГПУ завершилась спартакиадой,26 мая 2025,https://www.herzen.spb.ru/news-events/news/?ELEMENT_ID=47025
